INFO:     Started server process [30495]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
FeatureEngine initialized:
  30 team profiles
  265 live features expected
  155 pregame features expected
Loading models...
All models loaded.
Live polling started...

[09:59:35] 1 live games
  PHI vs POR (48-49 Q2) | Edge: 45.9% (proxy) | Conf: 61.7% | Signals: 1
Market odds polling started...
Found 23 NBA game moneylines on Polymarket
  [09:59:35] Fetched 23 Polymarket game odds
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
INFO:     127.0.0.1:58437 - "GET /games HTTP/1.1" 200 OK
